"12","0","48","2"
"13","0","47","2"
"14","0","187","2"
"15","0","223","2"
"16","0","149","1"
"17","0","203","1"
"18","0","225","1"
"19","0","206","1"
"20","0","227","1"
"21","0","227","2"
"22","0","203","2"
"23","0","228","2"
"24","0","205","2"
"25","0","160","2"
"26","0","103","10"
"27","0","227","10"
"28","0","187","10"
"29","0","149","10"
"30","0","76","10"
"31","0","47","10"
"32","0","48","10"
"33","0","149","11"
"34","0","204","11"
"35","0","202","11"
"36","0","130","11"
"37","0","129","11"
"38","0","127","11"
"39","0","203","11"
"40","0","205","12"
"41","0","206","12"
"42","0","210","12"
"43","0","202","12"
"44","0","187","1"
"45","0","202","2"
"46","0","159","2"
"47","0","172","2"
"48","0","169","2"
"49","0","130","2"
"50","0","127","2"
"51","0","60","2"
"52","0","114","1"
"53","0","189","1"
"54","0","32","1"
"55","0","183","1"
"56","0","184","1"
"57","0","145","1"
"58","0","151","1"
"59","0","157","1"
"60","0","154","1"
"61","0","103","1"
"62","0","146","1"
"63","0","103","2"
"64","0","157","2"
"65","0","147","2"
"66","0","155","2"
"67","0","149","2"
"68","0","106","2"
"69","0","105","2"
"70","0","216","2"
"71","0","222","2"
"72","0","118","10"
"73","0","189","10"
"74","0","193","10"
"75","0","220","10"
"76","0","218","10"
"77","0","86","10"
"78","0","85","10"
"79","0","145","3"
"80","0","153","3"
"81","0","149","3"
"82","0","90","11"
"83","0","96","11"
"84","0","93","11"
"85","0","189","11"
"86","0","193","11"
